group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,AC011139.1,11.62905,2.6075904,2.9334216795001407e-31,1.1544749128105875e-28,0.5738831615120275,0.1309192200557103
0,PCDH9,11.252096,2.0774767,2.26151905438682e-29,7.325120257487787e-27,0.6185567010309279,0.21262766945218198
0,TLE4,9.356707,1.9555111,8.226101078165504e-21,1.3874816846172146e-18,0.5223367697594502,0.1977715877437326
0,MIR99AHG,8.910014,1.8086398,5.102608100161282e-19,7.622879962204207e-17,0.5257731958762887,0.22469823584029713
0,EVI2B,8.780656,1.7790003,1.6252447808549145e-18,2.367569804327832e-16,0.5120274914089347,0.2116991643454039
0,BEX1,8.490999,2.6329956,2.048671466222258e-17,2.658986678553222e-15,0.422680412371134,0.12349117920148561
0,FOXO1,8.286301,2.0303662,1.1682534024771252e-16,1.3748952663686578e-14,0.47079037800687284,0.2107706592386258
0,RORA,7.926739,2.230357,2.249750783209223e-15,2.2809730863224585e-13,0.4261168384879725,0.15970287836583102
0,RHOC,7.8621855,1.6882291,3.7748877341820795e-15,3.734180161048603e-13,0.47079037800687284,0.20241411327762301
0,IL12A-AS1,7.849308,2.5519805,4.183388283268002e-15,4.116026735373445e-13,0.38144329896907214,0.10027855153203342
0,AC026369.3,7.8331695,2.0545838,4.757218005839548e-15,4.630822772120566e-13,0.41580756013745707,0.13649025069637882
0,PER1,7.667437,1.6032625,1.7546726071700298e-14,1.6383360228324047e-12,0.4845360824742268,0.23676880222841226
0,CLEC9A,6.683326,2.1951854,2.3357940436412798e-11,1.5051478484386352e-09,0.33676975945017185,0.09192200557103064
0,LIMCH1,6.5890875,3.0271115,4.4253845899539024e-11,2.783049851836817e-09,0.29553264604810997,0.04921077065923862
0,TSPYL2,6.575959,2.467704,4.8340525007563924e-11,3.003924542957296e-09,0.31958762886597936,0.07520891364902507
0,RIC3,6.434476,2.4269733,1.2390006127240873e-10,7.39782404996971e-09,0.3127147766323024,0.07520891364902507
0,DYTN,6.3417425,1.4488362,2.2718072190426858e-10,1.321946200702406e-08,0.40893470790378006,0.16991643454038996
0,DNM3,6.27167,1.6419837,3.5719623680546923e-10,2.011344532817997e-08,0.37800687285223367,0.1467038068709378
0,SVIL,6.2632246,1.4814107,3.77097365294055e-10,2.1104190622519432e-08,0.40893470790378006,0.18848653667595172
0,LINC02160,6.1855426,2.5149841,6.188929156135784e-10,3.350902308339139e-08,0.29896907216494845,0.06870937790157845
0,GLIPR1,6.1611257,1.2850484,7.222963123017753e-10,3.876358845536257e-08,0.43986254295532645,0.22376973073351902
0,SORL1,6.1479974,1.2741404,7.846726111952249e-10,4.1865600936379634e-08,0.45017182130584193,0.23584029712163418
0,PREX2,6.0354466,1.6617229,1.585237925064604e-09,8.002937006246836e-08,0.35738831615120276,0.13556174558960074
0,SAT2,6.0142074,1.308935,1.8076912671704075e-09,9.038703288210941e-08,0.41580756013745707,0.20798514391829154
0,DISC1FP1,5.9739866,2.1623168,2.3152490585392158e-09,1.1466905384518787e-07,0.3127147766323024,0.09377901578458682
0,SNHG12,5.963367,1.3895605,2.470926747558123e-09,1.2204910915975016e-07,0.41924398625429554,0.2265552460538533
0,EVI2A,5.9200525,2.2448401,3.218391751166567e-09,1.5622858950191978e-07,0.3024054982817869,0.08542246982358404
0,SELENOP,5.914868,2.4667342,3.3214190678403684e-09,1.603789700554424e-07,0.28865979381443296,0.07056638811513463
0,THRB,5.913279,1.8243016,3.3536297574498964e-09,1.6172095224298242e-07,0.3470790378006873,0.14113277623026926
0,MYCT1,5.8728075,1.5918117,4.284755292745963e-09,2.0261799543901162e-07,0.36769759450171824,0.1680594243268338
0,JAML,5.595527,2.4524362,2.1995221975586225e-08,9.339293730028206e-07,0.27491408934707906,0.06592386258124419
0,BEX5,5.5201864,2.3063543,3.386397391993493e-08,1.3793607068902889e-06,0.27491408934707906,0.06870937790157845
0,HIST1H1C,5.441836,1.6524571,5.273429253626093e-08,2.082122805954354e-06,0.38831615120274915,0.23584029712163418
0,PBXIP1,5.4234395,1.2460123,5.846298539138995e-08,2.286115094348572e-06,0.3951890034364261,0.2181987000928505
0,EMCN,5.419091,2.7274487,5.990269312173248e-08,2.3399129892727114e-06,0.2508591065292096,0.04735376044568245
0,NR4A2,5.3804593,1.9919056,7.42959752133568e-08,2.8504266129812074e-06,0.3024054982817869,0.11234911792014857
0,GPC6,5.343918,2.001462,9.09587395992072e-08,3.4145444390467516e-06,0.29553264604810997,0.09935004642525534
0,BMERB1,5.311892,1.7890993,1.0849293841580108e-07,4.039623640851206e-06,0.3127147766323024,0.12163416898792943
0,SETBP1,5.269915,2.3308704,1.3648677533023877e-07,5.005563591044157e-06,0.26804123711340205,0.07520891364902507
0,EGR1,5.268577,1.525391,1.3748512296991814e-07,5.032092985821973e-06,0.3470790378006873,0.1615598885793872
0,ADGRG6,5.2106295,1.5608773,1.882010421216098e-07,6.766548470228919e-06,0.32646048109965636,0.1457753017641597
0,PRKG2,5.174673,1.7551438,2.2831013511822674e-07,8.073796382089098e-06,0.29553264604810997,0.10120705663881151
0,PRKN,5.1609597,1.2706676,2.4568696569048016e-07,8.646527530035832e-06,0.38144329896907214,0.20705663881151345
0,ARRDC3,5.1568623,1.2140926,2.511221313887531e-07,8.803947443448039e-06,0.38144329896907214,0.2116991643454039
0,AC103591.3,5.1491694,1.287337,2.616423446160383e-07,9.15523083679887e-06,0.3848797250859107,0.22841225626740946
0,ANXA5,5.1349545,1.3100518,2.822125988454231e-07,9.800060085712836e-06,0.3711340206185567,0.20891364902506965
0,TCF4-AS1,5.110036,2.3273482,3.2209767530999626e-07,1.105919044467277e-05,0.25773195876288657,0.06963788300835655
0,NEGR1,5.071822,1.0988791,3.9402483862354024e-07,1.3194604865928816e-05,0.3951890034364261,0.2135561745589601
0,LYZ,4.992468,1.5024563,5.961269947986668e-07,1.9360110147849162e-05,0.31958762886597936,0.14948932219127206
0,TMEM163,4.961194,1.4871081,7.006110972591763e-07,2.225960657186034e-05,0.31958762886597936,0.14856081708449395
0,LAIR1,4.91905,1.1186104,8.696514725102542e-07,2.699755177722461e-05,0.3745704467353952,0.1977715877437326
0,DST,4.871889,1.3202137,1.1053617306749005e-06,3.3855518581114676e-05,0.35051546391752575,0.18662952646239556
0,KLF4,4.559238,1.5674436,5.1339555923858025e-06,0.00013837106674294017,0.27491408934707906,0.10584958217270195
0,TNFRSF14,4.543434,1.2697761,5.534512579584407e-06,0.00014775251270997,0.33676975945017185,0.1894150417827298
0,AL121944.1,4.3621483,1.3111928,1.2879155899215968e-05,0.0003191536798017628,0.3161512027491409,0.1680594243268338
0,SPTBN1,4.311726,1.229269,1.6198507466436182e-05,0.00039341842851959566,0.3333333333333333,0.19312906220984216
0,AC009318.1,4.2962565,1.3472649,1.737065619417201e-05,0.0004182785443176906,0.29896907216494845,0.1467038068709378
0,BICRAL,4.2952533,1.1260402,1.744941471240854e-05,0.00041962288297560114,0.3402061855670103,0.1977715877437326
0,HDAC9,4.287978,1.1409191,1.803067446467232e-05,0.0004321812155084948,0.3161512027491409,0.15970287836583102
0,MAML2,4.286724,1.2962316,1.8132737980993608e-05,0.00043349205933530176,0.3161512027491409,0.16248839368616527
0,HIST1H2AC,4.2130556,1.6812899,2.519389071339512e-05,0.000588463046586455,0.2611683848797251,0.11049210770659239
0,KRT18,4.1068597,1.0580153,4.010747337158708e-05,0.0009000451458451616,0.3642611683848797,0.2404828226555246
0,RAMP1,4.0405498,1.3677884,5.332602533711522e-05,0.0011590177276506854,0.26804123711340205,0.12163416898792943
0,CCPG1,4.0148787,1.3633938,5.94763364761154e-05,0.001273037070972105,0.29896907216494845,0.17177344475394615
0,SERPING1,3.9923854,1.0938137,6.541195726104903e-05,0.0013895200509063585,0.3230240549828179,0.18848653667595172
0,ATP2B1-AS1,3.9614463,1.1658517,7.449711801830201e-05,0.0015589874308678516,0.29896907216494845,0.15598885793871867
0,GIMAP2,3.951663,1.3312056,7.76099984028313e-05,0.0016176557810603806,0.27491408934707906,0.1374187558031569
0,ABCB1,3.9475656,1.0567942,7.894988163494397e-05,0.0016418435327957865,0.3402061855670103,0.21262766945218198
0,ZNF709,3.9452243,1.2807,7.972531728542646e-05,0.0016560875924880216,0.281786941580756,0.14391829155060354
0,CEBPB,3.9444718,1.0657914,7.997608968729383e-05,0.001660354429180171,0.35051546391752575,0.23491179201485607
0,GNG7,3.9400399,1.1820058,8.146805133815535e-05,0.001687499800242119,0.2920962199312715,0.1541318477251625
0,OSER1,3.866288,1.0164369,0.00011050442077079394,0.0022065315355329126,0.3470790378006873,0.23584029712163418
0,TMEM91,3.819378,1.106812,0.00013378870878130052,0.002625630311047925,0.3024054982817869,0.17177344475394615
0,CTSF,3.7701263,1.1125858,0.00016316497099362693,0.003139853366633932,0.29553264604810997,0.16248839368616527
0,FOSL1,3.6731284,1.4190906,0.00023959908182688547,0.004435794635278622,0.2646048109965636,0.14113277623026926
0,CEMIP2,3.6306498,1.3723112,0.00028270843887702425,0.005144515262763479,0.2646048109965636,0.14298978644382543
0,NAALADL1,3.6206157,1.2643185,0.00029390284989264575,0.005327953545775496,0.2611683848797251,0.13184772516248838
0,GCNT2,3.5704443,1.4857453,0.0003563762448217195,0.006347312377965817,0.2542955326460481,0.1327762302692665
0,DDIT3,3.5124965,1.275363,0.00044391805367658386,0.007696752573480173,0.27491408934707906,0.1606313834726091
0,ARMCX1,3.357634,1.2139522,0.0007861258992625846,0.01284508662451333,0.26804123711340205,0.1606313834726091
0,NBL1,3.194828,1.0701377,0.0013991414958504154,0.02127543742817659,0.2508591065292096,0.1374187558031569
0,GBP4,3.122665,1.0851115,0.0017922163261706067,0.026291346594857868,0.2611683848797251,0.15598885793871867
0,ADPRM,3.0481606,1.0373539,0.002302469063304651,0.032727250557675155,0.26804123711340205,0.17084493964716807
1,APOC1,25.560003,7.21729,4.250530093249633e-144,7.778682597151491e-140,0.9929328621908127,0.05806451612903226
1,AHSP,25.379047,8.28746,4.296459231220374e-142,3.1450940864379385e-138,0.9858657243816255,0.054377880184331796
1,FAM178B,25.231546,7.909083,1.8057739697283434e-140,9.441876152289586e-137,0.9752650176678446,0.02119815668202765
1,KLF1,24.759138,5.4706516,2.4717437200336263e-135,9.046829189695077e-132,0.9752650176678446,0.07465437788018434
1,ANK1,24.26392,6.463026,4.714731218772367e-130,1.3274144410637494e-126,0.950530035335689,0.026728110599078342
1,HBA1,23.922031,5.837812,1.8068698268789622e-126,4.408882835573126e-123,0.9752650176678446,0.09769585253456221
1,HBD,23.79185,5.5940027,4.056055120375838e-125,9.278479591304753e-122,0.9823321554770318,0.21474654377880184
1,KCNH2,23.735586,7.2948933,1.5480711376817834e-124,3.3329971594288797e-121,0.9222614840989399,0.014746543778801843
1,TFR2,22.955671,4.096836,1.293298561547413e-116,2.0580878543998638e-113,0.9540636042402827,0.12626728110599078
1,HBA2,22.556675,4.5943894,1.154825581687615e-112,1.2431697386867176e-109,0.9469964664310954,0.12350230414746544
1,GATA1,22.398952,4.066412,4.029420963043916e-111,3.8810746491676416e-108,0.950530035335689,0.11336405529953918
1,UBAC1,22.211071,3.9602082,2.684666646233713e-109,2.3395591409238125e-106,0.9222614840989399,0.13732718894009216
1,HBQ1,22.171534,5.142774,6.466883432306444e-109,5.504520941996469e-106,0.8869257950530035,0.041474654377880185
1,HES6,21.73866,6.154836,8.84406438849696e-105,6.3470902094779846e-102,0.8551236749116607,0.02488479262672811
1,MYL4,21.721596,4.9045258,1.2824401253842716e-104,9.026652120998025e-102,0.8798586572438163,0.05161290322580645
1,HMBS,21.387312,3.9609215,1.75379627328711e-101,1.0353338290093791e-98,0.8975265017667845,0.12995391705069123
1,TFRC,21.353773,3.3985765,3.596918231479546e-101,2.0896953046092517e-98,0.9434628975265018,0.21566820276497695
1,CA2,21.224098,4.1566286,5.72142771696216e-100,3.1255220278885376e-97,0.8975265017667845,0.14930875576036867
