,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
PURPL,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC113355.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.003415882513769586,0.10004131488390308,-0.2685691
LINC02103,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC008825.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,9.999999999995e-13,,
AC109472.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02109,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.003705327316154332,0.1815218460980772,-0.14346504
AC112172.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02064,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC099517.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC026433.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC113386.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.011528387136155652,0.8692681719925076,0.91249114
CDH6,False,False,12,0.008665511,99.30675909878683,15.0,False,0.03253552660219716,0.47181718412705576,0.30225042
DROSHA,False,False,211,0.13287117,87.8105141536684,230.0,False,0.1538501346748234,0.2826590074641386,0.011819562
C5orf22,False,False,120,0.0768342,93.06759098786829,133.0,False,0.07877185666565342,-0.1287174745768478,-0.6198022
PDZD2,False,False,566,0.4714038,67.30213749277874,816.0,False,0.3056123582460917,0.995338431988997,1.123384
AC022447.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC022447.5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC022447.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC022447.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC022447.7,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC022447.6,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC025178.1,False,False,14,0.00808781,99.19121894858463,14.0,False,0.0033935954341213813,-0.5819542899922778,-1.3156958
GOLPH3,False,False,1001,0.9861352,42.172154823801264,1707.0,False,0.6682873746206104,0.7749629353377134,0.41875157
AC025181.2,False,False,123,0.0774119,92.89428076256499,134.0,False,0.10980479005365311,0.7244703729136476,0.69017065
MTMR12,False,False,245,0.16868863,85.84633160023107,292.0,False,0.2315940346965142,0.6112625625379561,0.5163529
ZFR,False,False,761,0.67071056,56.03697284806471,1161.0,False,0.557044150968189,0.5907559459030243,0.0648493
SUB1,False,False,1492,4.3229346,13.807047949162332,7483.0,False,1.7581727436550771,0.4984055646658093,-0.64284784
LINC02061,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC008766.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
NPR3,False,False,597,0.48238012,65.51126516464471,835.0,True,0.30691371612163704,1.1063489116763447,1.3698927
AC010343.3,False,False,61,0.03928365,96.47602541883305,68.0,False,0.015168410282508395,0.8412000167098329,0.86939573
LINC02120,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC034223.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC034223.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02160,False,False,188,0.14211439,89.13922588099365,246.0,False,0.06372153572306531,0.9409227879636108,1.0225086
AC034231.1,False,False,48,0.028307337,97.22703639514731,49.0,False,0.024192267562407787,0.07248213438443328,-0.3108831
