,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
PEX11G,False,False,101,0.06643558,94.16522241478914,115.0,True,0.05511412094479019,1.1330536919992131,1.3175038
FCER2,False,False,2,0.0017331023,99.8844598497978,3.0,True,0.04646934043800446,2.196093084112739,2.9496799
AC022146.2,False,False,19,0.011554015,98.90236857307914,20.0,True,0.02097669470845621,1.230600169580454,1.4672754
ANGPTL4,False,False,7,0.0051993066,99.59560947429232,9.0,True,0.05290766862086751,2.7564222128599405,3.8100014
PRAM1,False,False,437,0.39225882,74.75447718082033,679.0,True,0.2350839722119877,1.3401794420343727,1.6355219
MYO1F,False,False,186,0.12189486,89.25476603119584,211.0,True,0.12933123785588316,1.715697329496478,2.212087
ZNF177,False,False,30,0.017908724,98.26689774696708,31.0,True,0.025751188750446442,1.3737057553755125,1.6869977
ICAM1,False,False,30,0.028307337,98.26689774696708,49.0,True,0.0954551401401973,2.5017472202169375,3.418977
ICAM3,False,False,1153,1.6146736,33.39110340843443,2795.0,True,0.5908168840370316,1.3128261902044138,1.4521055
LDLR,False,False,200,0.13807048,88.44598497978046,239.0,True,0.16361649790407587,1.2748681007297717,1.5352437
ZNF563,False,False,34,0.020219527,98.03581744656267,35.0,True,0.029360595760405204,1.1129657400078263,1.286661
JUNB,False,False,918,1.2293472,46.96707105719238,2128.0,True,0.8080834121564887,1.9396493524763823,2.656371
PRDX2,False,False,1207,7.2726746,30.27151935297516,12589.0,True,2.4235369975436227,2.382329820314054,1.7159342
LYL1,False,False,1092,1.1819757,36.915077989601386,2046.0,True,0.8036910755939164,1.415371163670635,1.649117
IER2,False,False,926,1.3362218,46.5049104563836,2313.0,True,1.0294254772015887,2.130708282408988,2.4345934
AC020916.1,False,False,712,0.86192954,58.867706528018495,1492.0,True,0.7042682834947454,1.6544582625027462,2.1084561
ADGRE5,False,False,473,0.44945118,72.67475447718081,778.0,True,0.3875419557921809,1.6334142603520647,2.5402884
AC008569.1,False,False,61,0.03755055,96.47602541883305,65.0,True,0.053162044195770045,1.1373995262439756,1.3241763
CLEC17A,False,False,2,0.0017331023,99.8844598497978,3.0,True,0.03010979602916639,1.6018480988494428,2.0372844
ADGRE2,False,False,161,0.105141535,90.69901790872328,182.0,True,0.15646927348319778,1.5221257022645356,1.9148796
NOTCH3,False,False,7,0.004043905,99.59560947429232,7.0,True,0.016997441073669226,1.7114705902625313,2.2055972
RASAL3,False,False,163,0.10109763,90.5834777585211,175.0,True,0.09137718793089682,1.186768695573916,1.3999771
OR10H1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.009360594524854503,1.1110897750700668,1.2837807
HSH2D,False,False,574,0.4800693,66.83997689196997,831.0,True,0.23101517104579639,1.1527103711107558,1.3476844
KLF2,False,False,167,0.12767187,90.3523974581167,221.0,True,0.2459990467079631,1.3404817636857376,1.635986
NIBAN3,False,False,13,0.009243212,99.24898902368572,16.0,True,0.08074389299282951,2.2005830315929202,2.9565737
IL12RB1,False,False,39,0.02310803,97.74696707105718,40.0,True,0.028972113044120763,1.2180801715857235,1.4480523
IFI30,False,False,31,0.020219527,98.20912767186597,35.0,True,0.02953693358158443,1.2076262899892083,1.4320016
LRRC25,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.02956255042770026,1.5898785740538703,2.0189064
PBX4,False,False,48,0.028885037,97.22703639514731,50.0,True,0.052596190967624815,1.2069339143834947,1.4309385
LPAR2,False,False,22,0.012709416,98.72905834777586,22.0,True,0.01831822468171785,1.2809697922751777,1.5446122
GMIP,False,False,69,0.042172156,96.01386481802426,73.0,True,0.04453734014691204,1.2128184162624671,1.4399735
ZNF737,False,False,97,0.058347777,94.39630271519353,101.0,True,0.10186395274159986,1.0857307729939853,1.2448449
AC123912.2,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.01319994589145895,1.456717024565684,1.814452
PLEKHF1,False,False,12,0.006932409,99.30675909878683,12.0,True,0.019670269240379862,1.2301671467577642,1.4666104
CEBPA,False,False,105,0.069901794,93.93414211438474,121.0,True,0.03568591331444905,1.490760758447439,1.8667223
AC020907.4,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.015712105984055518,1.6321948442573342,2.0838783
CD22,False,False,12,0.00751011,99.30675909878683,13.0,True,0.021978766781437165,1.4617075445890286,1.8221143
NFKBID,False,False,129,0.081455804,92.5476603119584,141.0,True,0.13566636512998898,1.2542213224197138,1.5035429
HCST,False,False,425,0.38243788,75.4477180820335,662.0,True,0.280055116805222,1.382803839071536,1.9837856
TYROBP,False,False,183,0.13633738,89.42807625649914,236.0,True,0.16702856873048413,1.720671451553328,2.219724
COX7A1,False,False,6,0.0034662045,99.65337954939342,6.0,True,0.009360594524854503,1.1110897750700668,1.2837807
ZNF585B,False,False,85,0.051415365,95.0895436164067,89.0,True,0.069966597191519,1.7267311372200518,2.229028
SIPA1L3,False,False,537,0.40843442,68.97746967071056,707.0,True,0.41396914455788203,1.4962233807284742,2.2356439
DPF1,False,False,98,0.06296938,94.33853264009244,109.0,True,0.09417273539074278,1.553317125827939,1.9627705
PPP1R14A,False,False,119,0.08838821,93.12536106296938,153.0,True,0.15409212167669445,1.2223075389917688,1.454543
CATSPERG,False,False,54,0.03177354,96.88041594454073,55.0,True,0.05169494866883963,1.2465637148014976,1.4917855
AC008649.1,False,False,3,0.002310803,99.8266897746967,4.0,True,0.014532228410257787,1.0650090500016982,1.213029
SAMD4B,False,False,319,0.21374927,81.57134604274987,370.0,True,0.22945012628044972,1.4634182765757335,1.824741
ZFP36,False,False,807,1.0531485,53.37954939341421,1823.0,True,0.7923338228929743,1.9577967255586126,2.6912363
PLEKHG2,False,False,36,0.022530328,97.92027729636048,39.0,True,0.048115673438796,1.0953310896777682,1.259585
